"Default_Text"|"Translated_Text"
"%s1 (%s2) : Failed to open the report file."|"%s1 (%s2) : Failed to open the Report File."
"%s1 (%s2) : The template file for the report does not exist.\n\nOne of the following files must be provided as a template:\n%s3"|"%s1 (%s2) : The template file for the report does not exist.\n\nOne of the following files must be provided as a template"
"'Cancel' if the Verification of this device will be skipped."|"Cancel' if the Verification of this device will be skipped."
"'No'  to mark this Device Verification as 'exclude'."|"'No'  to mark this Device Verification as 'exclude'."
"'Yes' to mark this Device Verification as 'confirmed'."|"'Yes' to mark this Device Verification as 'confirmed'."
"( 50ul Head Type )"|"( 50µl Head Type )"
"( IVD application )"|"( IVD Application )"
"( STP Head Type )"|"( STP Head Type )"
"( Type: 1000ul )"|"( Type: 1000µl )"
"( Type: 300ul )"|"( Type: 300µl )"
"(YYYY-MM-DD)"|"(YYYY-MM-DD)"
"1 Teaching Needle at the 384 Tip Rack position 'A5'"|"1 Teaching Needle at the 384 Tip Rack position 'A5'"
"1 Teaching Needle at the 96 Tip Rack position 'A1'"|"1 Teaching Needle at the 96 Tip Rack position 'A1'"
"1 Teaching Needle at the 96 Tip Rack position 'A6'"|"1 Teaching Needle at the 96 Tip Rack position 'A6'"
"1000ul 96 Tip Rack ( HVT )"|"1000µl 96 Tip Rack ( HVT )"
"1000ul High Volume Tip"|"1000µl High Volume Tip"
"1000ul High Volume Tip with Filter"|"1000µl High Volume Tip with Filter"
"1000µl 96 Tip Rack ( HVT )"|"1000µl 96 Tip Rack ( HVT )"
"1000µl Pipetting Channels Position Verification"|"1000µl Pipetting Channels Position Verification"
"1000µl Pipetting Channels Volume Verification"|"1000µl Pipetting Channels Volume Verification"
"10ul Low Volume Tip"|"10µl Low Volume Tip"
"10ul Low Volume Tip with Filter"|"10µl Low Volume Tip with Filter"
"10µl 96 Tip Rack ( LVT )"|"10µl 96 Tip Rack ( LVT )"
"2 x 5ml teaching needles in tip rack"|"2 x 5ml Teaching Needles in the Tip Rack"
"300ul 96 Tip Rack ( SVT )"|"300µl 96 Tip Rack ( SVT )"
"300ul Standard Volume Tip"|"300µl Standard Volume Tip"
"300ul Standard Volume Tip with Filter"|"300µl Standard Volume Tip with Filter"
"300µl 96 Tip Rack ( SVT )"|"300µl 96 Tip Rack ( SVT )"
"384 Head 50ul Clear Tip"|"384 Head 50µl Clear Tip"
"384 Head 50ul Tip"|"384 Head 50µl Tip"
"384 Multi-Probe Head Position Verification"|"384 Multi-Probe Head Position Verification"
"384 Well MTP (Well 'A1' at the left, rear position)"|"384 Well MTP (Well 'A1' at the left, rear position)"
"384 Well Microplate (MTP-1)"|"384 Well Microtiter Plate (MTP-1)"
"384 Windshield"|"384 Windshield"
"4ml Tip with Filter"|"4ml Tip with Filter"
"50ul 96 Tip Rack ( 50ul Tip )"|"50µl 96 Tip Rack ( 50µl Tip )"
"50ul Tip"|"50µl Tip"
"50ul Tip with Filter"|"50µl Tip with Filter"
"5ml 'Teaching Needle' should be present in waste block."|"5ml 'Teaching Needle' should be present in the Waste Block."
"5ml Pipetting Channels Position Verification"|"5ml Pipetting Channels Position Verification"
"5ml Pipetting Channels Volume Verification"|"5ml Pipetting Channels Volume Verification"
"5ml Tip"|"5ml Tip"
"5ml Tip Rack ( 5ml Tips )"|"5ml Tip Rack ( 5ml Tips )"
"96 Multi-Probe Head Position Verification"|"96 Multi-Probe Head Position Verification"
"96 Well MTP (Well 'A1' at the left, rear position)"|"96 Well MTP (Well 'A1' at the left, rear position)"
"96 Well Microplate ( MTP )"|"96 Well Microtiter Plate ( MTP )"
